"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-08
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.0728,0.2483,0.3175,0,0.1187,0.02,2.777,3.319,2.777,0.542
8313,"LOVES #877",Cullman,AL,ULSD,2.0559,0.2483,0.3175,0,0.065,0.01,2.697,3.289,2.697,0.592
36091,"LOVES #773",Eutaw,AL,ULSD,2.0559,0.2483,0.3175,0,0.0522,0.06,2.734,3.149,2.734,0.415
1106,"LOVES #225",Evergreen,AL,ULSD,2.0728,0.2483,0.3175,0,0.0949,0.07,2.804,3.289,2.804,0.485
1375,"LOVES #381",Falkville,AL,ULSD,2.0559,0.2483,0.3175,0,0.0825,0.03,2.734,3.289,2.734,0.555
14312,"LOVES #814",Hamilton,AL,ULSD,2.0959,0.2483,0.3175,0,0.08,0.03,2.772,3.319,2.772,0.547
2172,"LOVES #818",Heflin,AL,ULSD,2.0559,0.2483,0.3175,0,0.065,0.03,2.717,3.249,2.717,0.532
33059,"LOVES #718","Hope Hull",AL,ULSD,2.0728,0.2483,0.3175,0,0.0625,0.03,2.731,3.289,2.731,0.558
21124,"LOVES #846",Irvington,AL,ULSD,2.1424,0.2483,0.3175,0,0.07,0.03,2.808,3.289,2.808,0.481
1173,"LOVES #466",Jasper,AL,ULSD,2.0559,0.2483,0.3175,0,0.0362,0.04,2.698,3.319,2.698,0.621
1157,"LOVES #206",Loxley,AL,ULSD,2.1424,0.2483,0.3175,0,0.068,0.09,2.866,3.449,2.866,0.583
1108,"LOVES #227","Mc Calla",AL,ULSD,2.0559,0.2483,0.3175,0,0.0475,0.02,2.689,3.289,2.689,0.6
1055,"LOVES #530",Moody,AL,ULSD,2.0559,0.2483,0.3175,0,0.0675,0.08,2.769,3.219,2.769,0.45
1113,"LOVES #566",Ozark,AL,ULSD,2.1947,0.2483,0.3175,0,0.0825,0.07,2.913,3.489,2.913,0.576
1155,"LOVES #624",Prichard,AL,ULSD,2.1424,0.2483,0.3175,0,0.0675,0.08,2.856,3.299,2.856,0.443
1152,"LOVES #577",Shorter,AL,ULSD,2.0728,0.2483,0.3175,0,0.0667,0.1,2.805,3.439,2.805,0.634
38263,"LOVES #774","Smiths Station",AL,ULSD,2.0728,0.2483,0.3175,0,0.089,0.03,2.758,3.399,2.758,0.641
1147,"LOVES #304",Steele,AL,ULSD,2.0559,0.2483,0.3175,0,0.0587,0.08,2.76,3.749,2.76,0.989
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.0559,0.2483,0.3175,0,0.1155,0.0175,2.755,3.289,2.755,0.534
8031,"LOVES #635",Alma,AR,ULSD,1.891,0.2483,0.285,0,0.0455,0.003,2.473,3.489,2.473,1.016
40016,"LOVES #671",Blytheville,AR,ULSD,2.1474,0.2483,0.285,0,0.1025,0.003,2.786,3.539,2.786,0.753
52153,"LOVES #822",Clarksville,AR,ULSD,2.0225,0.2483,0.285,0,0.0875,0.003,2.646,3.449,2.646,0.803
6160,"LOVES #759",Hazen,AR,ULSD,2.0225,0.2483,0.285,0,0.065,0.003,2.624,3.239,2.624,0.615
4116,"LOVES #607",Jonesboro,AR,ULSD,2.0956,0.2483,0.285,0,0.0875,0.003,2.719,3.319,2.719,0.6
44598,"LOVES #689","Lake Village",AR,ULSD,2.0225,0.2483,0.285,0,0.0992,0.003,2.658,3.389,2.658,0.731
4198,"LOVES #457","Little Rock",AR,ULSD,2.0225,0.2483,0.285,0,0.06,0.003,2.619,3.199,2.619,0.58
10170,"LOVES #779",Malvern,AR,ULSD,2.1245,0.2483,0.285,0,0.087,0.003,2.748,3.829,2.748,1.081
4122,"LOVES #267",Morrilton,AR,ULSD,2.0225,0.2483,0.285,0,0.0875,0.003,2.646,3.339,2.646,0.693
4053,"LOVES #236","N Little Rock",AR,ULSD,2.0225,0.2483,0.285,0,0.06,0.003,2.619,3.199,2.619,0.58
4134,"LOVES #271",Ozark,AR,ULSD,2.0225,0.2483,0.285,0,0.0875,0.003,2.646,3.449,2.646,0.803
4150,"LOVES #275",Palestine,AR,ULSD,2.0956,0.2483,0.285,0,0.0555,0.003,2.687,3.299,2.687,0.612
35130,"LOVES #661","Pine Bluff",AR,ULSD,2.0225,0.2483,0.285,0,0.0751,0.003,2.634,3.189,2.634,0.555
4321,"LOVES #277",Prescott,AR,ULSD,2.1245,0.2483,0.285,0,0.0884,0.003,2.749,3.849,2.749,1.1
21236,"LOVES #884",Prescott,AR,ULSD,2.1245,0.2483,0.285,0,0.0884,0.003,2.749,3.849,2.749,1.1
4075,"LOVES #557",Searcy,AR,ULSD,2.0225,0.2483,0.285,0,0.07,0.003,2.629,3.449,2.629,0.82
4037,"LOVES #450","West Memphis",AR,ULSD,2.0956,0.2483,0.285,0,0.0575,0.003,2.689,3.489,2.689,0.8
3313,"LOVES #460",Benson,AZ,ULSD,2.3375,0.2483,0.26,0,0.0908,0.01,2.947,3.419,2.947,0.472
