"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-01
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.1475,0.2483,0.3175,0,0.1187,0.02,2.852,3.219,2.852,0.367
8313,"LOVES #877",Cullman,AL,ULSD,2.1334,0.2483,0.3175,0,0.065,0.01,2.774,3.289,2.774,0.515
36091,"LOVES #773",Eutaw,AL,ULSD,2.1334,0.2483,0.3175,0,0.0522,0.06,2.811,3.089,2.811,0.278
1106,"LOVES #225",Evergreen,AL,ULSD,2.1475,0.2483,0.3175,0,0.0949,0.07,2.878,3.349,2.878,0.471
1375,"LOVES #381",Falkville,AL,ULSD,2.1334,0.2483,0.3175,0,0.0825,0.03,2.812,3.289,2.812,0.477
14312,"LOVES #814",Hamilton,AL,ULSD,2.165,0.2483,0.3175,0,0.08,0.03,2.841,3.389,2.841,0.548
2172,"LOVES #818",Heflin,AL,ULSD,2.1334,0.2483,0.3175,0,0.065,0.03,2.794,3.249,2.794,0.455
33059,"LOVES #718","Hope Hull",AL,ULSD,2.1475,0.2483,0.3175,0,0.0625,0.03,2.806,3.299,2.806,0.493
21124,"LOVES #846",Irvington,AL,ULSD,2.2149,0.2483,0.3175,0,0.07,0.03,2.881,3.199,2.881,0.318
1173,"LOVES #466",Jasper,AL,ULSD,2.1334,0.2483,0.3175,0,0.0362,0.04,2.775,3.289,2.775,0.514
1157,"LOVES #206",Loxley,AL,ULSD,2.2149,0.2483,0.3175,0,0.068,0.09,2.939,3.499,2.939,0.56
1108,"LOVES #227","Mc Calla",AL,ULSD,2.1334,0.2483,0.3175,0,0.0475,0.02,2.767,3.239,2.767,0.472
1055,"LOVES #530",Moody,AL,ULSD,2.1334,0.2483,0.3175,0,0.0675,0.08,2.847,3.219,2.847,0.372
1113,"LOVES #566",Ozark,AL,ULSD,2.2693,0.2483,0.3175,0,0.0825,0.07,2.988,3.589,2.988,0.601
1155,"LOVES #624",Prichard,AL,ULSD,2.2149,0.2483,0.3175,0,0.0675,0.08,2.928,3.299,2.928,0.371
1152,"LOVES #577",Shorter,AL,ULSD,2.1475,0.2483,0.3175,0,0.0667,0.1,2.88,3.449,2.88,0.569
38263,"LOVES #774","Smiths Station",AL,ULSD,2.1475,0.2483,0.3175,0,0.089,0.03,2.832,3.449,2.832,0.617
1147,"LOVES #304",Steele,AL,ULSD,2.1334,0.2483,0.3175,0,0.0587,0.08,2.838,3.749,2.838,0.911
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.1334,0.2483,0.3175,0,0.1155,0.0175,2.832,3.289,2.832,0.457
8031,"LOVES #635",Alma,AR,ULSD,1.9739,0.2483,0.285,0,0.0455,0.003,2.556,3.489,2.556,0.933
40016,"LOVES #671",Blytheville,AR,ULSD,2.2205,0.2483,0.285,0,0.1025,0.003,2.859,3.629,2.859,0.77
52153,"LOVES #822",Clarksville,AR,ULSD,2.0989,0.2483,0.285,0,0.0875,0.003,2.723,3.449,2.723,0.726
6160,"LOVES #759",Hazen,AR,ULSD,2.0989,0.2483,0.285,0,0.065,0.003,2.7,3.189,2.7,0.489
4116,"LOVES #607",Jonesboro,AR,ULSD,2.1695,0.2483,0.285,0,0.0875,0.003,2.793,3.319,2.793,0.526
