"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-28
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.3245,0.2483,0.3175,0,0.1187,0.02,3.029,3.649,3.029,0.62
8313,"LOVES #877",Cullman,AL,ULSD,2.3102,0.2483,0.3175,0,0.065,0.01,2.951,3.789,2.951,0.838
36091,"LOVES #773",Eutaw,AL,ULSD,2.3102,0.2483,0.3175,0,0.0522,0.06,2.988,3.589,2.988,0.601
1106,"LOVES #225",Evergreen,AL,ULSD,2.3245,0.2483,0.3175,0,0.0949,0.07,3.055,3.689,3.055,0.634
1375,"LOVES #381",Falkville,AL,ULSD,2.3102,0.2483,0.3175,0,0.0825,0.03,2.989,3.789,2.989,0.8
14312,"LOVES #814",Hamilton,AL,ULSD,2.3502,0.2483,0.3175,0,0.08,0.03,3.026,3.649,3.026,0.623
2172,"LOVES #818",Heflin,AL,ULSD,2.3102,0.2483,0.3175,0,0.065,0.03,2.971,3.649,2.971,0.678
33059,"LOVES #718","Hope Hull",AL,ULSD,2.3245,0.2483,0.3175,0,0.0625,0.03,2.983,3.689,2.983,0.706
21124,"LOVES #846",Irvington,AL,ULSD,2.3914,0.2483,0.3175,0,0.07,0.03,3.057,3.789,3.057,0.732
1173,"LOVES #466",Jasper,AL,ULSD,2.3102,0.2483,0.3175,0,0.0362,0.04,2.952,3.649,2.952,0.697
1157,"LOVES #206",Loxley,AL,ULSD,2.3914,0.2483,0.3175,0,0.068,0.09,3.115,3.849,3.115,0.734
1108,"LOVES #227","Mc Calla",AL,ULSD,2.3102,0.2483,0.3175,0,0.0475,0.02,2.944,3.649,2.944,0.705
1055,"LOVES #530",Moody,AL,ULSD,2.3102,0.2483,0.3175,0,0.0675,0.08,3.024,3.649,3.024,0.625
1113,"LOVES #566",Ozark,AL,ULSD,2.4416,0.2483,0.3175,0,0.0825,0.07,3.16,3.789,3.16,0.629
1155,"LOVES #624",Prichard,AL,ULSD,2.3914,0.2483,0.3175,0,0.0675,0.08,3.105,3.749,3.105,0.644
1152,"LOVES #577",Shorter,AL,ULSD,2.3245,0.2483,0.3175,0,0.0667,0.1,3.057,3.679,3.057,0.622
38263,"LOVES #774","Smiths Station",AL,ULSD,2.3245,0.2483,0.3175,0,0.089,0.03,3.009,3.649,3.009,0.64
1147,"LOVES #304",Steele,AL,ULSD,2.3102,0.2483,0.3175,0,0.0587,0.08,3.015,3.889,3.015,0.874
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.3102,0.2483,0.3175,0,0.1155,0.0175,3.009,3.789,3.009,0.78
8031,"LOVES #635",Alma,AR,ULSD,2.2498,0.2483,0.285,0,0.0455,0.003,2.832,3.629,2.832,0.797
40016,"LOVES #671",Blytheville,AR,ULSD,2.418,0.2483,0.285,0,0.1025,0.003,3.057,3.739,3.057,0.682
52153,"LOVES #822",Clarksville,AR,ULSD,2.3178,0.2483,0.285,0,0.0875,0.003,2.942,3.589,2.942,0.647
6160,"LOVES #759",Hazen,AR,ULSD,2.3178,0.2483,0.285,0,0.065,0.003,2.919,3.549,2.919,0.63
4116,"LOVES #607",Jonesboro,AR,ULSD,2.3412,0.2483,0.285,0,0.0875,0.003,2.965,3.649,2.965,0.684
