"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-23
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.3519,0.2483,0.3175,0,0.1187,0.02,3.056,3.649,3.056,0.593
8313,"LOVES #877",Cullman,AL,ULSD,2.3326,0.2483,0.3175,0,0.065,0.01,2.973,3.789,2.973,0.816
36091,"LOVES #773",Eutaw,AL,ULSD,2.3326,0.2483,0.3175,0,0.0522,0.06,3.011,3.589,3.011,0.578
1106,"LOVES #225",Evergreen,AL,ULSD,2.3519,0.2483,0.3175,0,0.0949,0.07,3.083,3.689,3.083,0.606
1375,"LOVES #381",Falkville,AL,ULSD,2.3326,0.2483,0.3175,0,0.0825,0.03,3.011,3.789,3.011,0.778
14312,"LOVES #814",Hamilton,AL,ULSD,2.3801,0.2483,0.3175,0,0.08,0.03,3.056,3.689,3.056,0.633
2172,"LOVES #818",Heflin,AL,ULSD,2.3326,0.2483,0.3175,0,0.065,0.03,2.993,3.649,2.993,0.656
33059,"LOVES #718","Hope Hull",AL,ULSD,2.3519,0.2483,0.3175,0,0.0625,0.03,3.01,3.689,3.01,0.679
21124,"LOVES #846",Irvington,AL,ULSD,2.4186,0.2483,0.3175,0,0.07,0.03,3.084,3.789,3.084,0.705
1173,"LOVES #466",Jasper,AL,ULSD,2.3326,0.2483,0.3175,0,0.0362,0.04,2.975,3.649,2.975,0.674
1157,"LOVES #206",Loxley,AL,ULSD,2.4186,0.2483,0.3175,0,0.068,0.09,3.142,3.799,3.142,0.657
1108,"LOVES #227","Mc Calla",AL,ULSD,2.3326,0.2483,0.3175,0,0.0475,0.02,2.966,3.589,2.966,0.623
1055,"LOVES #530",Moody,AL,ULSD,2.3326,0.2483,0.3175,0,0.0675,0.08,3.046,3.649,3.046,0.603
1113,"LOVES #566",Ozark,AL,ULSD,2.4727,0.2483,0.3175,0,0.0825,0.07,3.191,3.789,3.191,0.598
1155,"LOVES #624",Prichard,AL,ULSD,2.4186,0.2483,0.3175,0,0.0675,0.08,3.132,3.749,3.132,0.617
1152,"LOVES #577",Shorter,AL,ULSD,2.3519,0.2483,0.3175,0,0.0667,0.1,3.084,3.689,3.084,0.605
38263,"LOVES #774","Smiths Station",AL,ULSD,2.3519,0.2483,0.3175,0,0.089,0.03,3.037,3.649,3.037,0.612
1147,"LOVES #304",Steele,AL,ULSD,2.3326,0.2483,0.3175,0,0.0587,0.08,3.037,3.889,3.037,0.852
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.3326,0.2483,0.3175,0,0.1155,0.0175,3.031,3.789,3.031,0.758
8031,"LOVES #635",Alma,AR,ULSD,2.2257,0.2483,0.285,0,0.0455,0.003,2.808,3.629,2.808,0.821
40016,"LOVES #671",Blytheville,AR,ULSD,2.4375,0.2483,0.285,0,0.1025,0.003,3.076,3.739,3.076,0.663
52153,"LOVES #822",Clarksville,AR,ULSD,2.3337,0.2483,0.285,0,0.0875,0.003,2.958,3.589,2.958,0.631
6160,"LOVES #759",Hazen,AR,ULSD,2.3337,0.2483,0.285,0,0.065,0.003,2.935,3.549,2.935,0.614
4116,"LOVES #607",Jonesboro,AR,ULSD,2.3678,0.2483,0.285,0,0.0875,0.003,2.992,3.649,2.992,0.657
44598,"LOVES #689","Lake Village",AR,ULSD,2.3337,0.2483,0.285,0,0.0992,0.003,2.969,3.489,2.969,0.52
4198,"LOVES #457","Little Rock",AR,ULSD,2.3337,0.2483,0.285,0,0.06,0.003,2.93,3.549,2.93,0.619
10170,"LOVES #779",Malvern,AR,ULSD,2.4123,0.2483,0.285,0,0.087,0.003,3.036,3.849,3.036,0.813
4122,"LOVES #267",Morrilton,AR,ULSD,2.3337,0.2483,0.285,0,0.0875,0.003,2.958,3.589,2.958,0.631
4053,"LOVES #236","N Little Rock",AR,ULSD,2.3337,0.2483,0.285,0,0.06,0.003,2.93,3.549,2.93,0.619
4134,"LOVES #271",Ozark,AR,ULSD,2.3337,0.2483,0.285,0,0.0875,0.003,2.958,3.589,2.958,0.631
4150,"LOVES #275",Palestine,AR,ULSD,2.3678,0.2483,0.285,0,0.0555,0.003,2.96,3.689,2.96,0.729
35130,"LOVES #661","Pine Bluff",AR,ULSD,2.3337,0.2483,0.285,0,0.0751,0.003,2.945,3.489,2.945,0.544
4321,"LOVES #277",Prescott,AR,ULSD,2.4123,0.2483,0.285,0,0.0884,0.003,3.037,3.999,3.037,0.962
21236,"LOVES #884",Prescott,AR,ULSD,2.4123,0.2483,0.285,0,0.0884,0.003,3.037,3.999,3.037,0.962
4075,"LOVES #557",Searcy,AR,ULSD,2.3337,0.2483,0.285,0,0.07,0.003,2.94,3.649,2.94,0.709
4037,"LOVES #450","West Memphis",AR,ULSD,2.3678,0.2483,0.285,0,0.0575,0.003,2.962,3.689,2.962,0.727
3313,"LOVES #460",Benson,AZ,ULSD,2.5986,0.2483,0.26,0,0.0908,0.01,3.208,3.379,3.208,0.171
3079,"LOVES #280",Buckeye,AZ,ULSD,2.4945,0.2483,0.26,0,0.0758,0.01,3.089,3.949,3.089,0.86
3753,"LOVES #328","Chandler ",AZ,ULSD,2.4945,0.2483,0.26,0,0.0387,0.01,3.052,3.989,3.052,0.937
30448,"LOVES #972",ELOY,AZ,ULSD,2.4945,0.2483,0.26,0,0.0725,0.01,3.085,3.789,3.085,0.704
3087,"LOVES #265",Eloy,AZ,ULSD,2.4945,0.2483,0.26,0,0.0725,0.01,3.085,3.989,3.085,0.904
3084,"LOVES #296","Gila Bend",AZ,ULSD,2.4945,0.2483,0.26,0,0.1025,0.01,3.115,3.949,3.115,0.834
3082,"LOVES #278","Joseph City",AZ,ULSD,2.448,0.2483,0.26,0,0.1899,0.01,3.156,4.049,3.156,0.893
3028,"LOVES #272",Kingman,AZ,ULSD,2.451,0.2483,0.26,0,0.1558,0.01,3.125,3.949,3.125,0.824
3244,"LOVES #386","Lake Havasu City",AZ,ULSD,2.451,0.2483,0.26,0,0.167,0.01,3.136,3.949,3.136,0.813
29105,"LOVES #722",Mayer,AZ,ULSD,2.4945,0.2483,0.26,0,0.0975,0.01,3.11,3.989,3.11,0.879
30348,"LOVES #350",Nogales,AZ,ULSD,2.5986,0.2483,0.26,0,0.0597,0.01,3.177,3.689,3.177,0.512
3081,"LOVES #286",Quartzsite,AZ,ULSD,2.4945,0.2483,0.26,0,0.135,0.01,3.148,4.089,3.148,0.941
3134,"LOVES #659",Tolleson,AZ,ULSD,2.4945,0.2483,0.26,0,0.062,0.01,3.075,3.989,3.075,0.914
49246,"LOVES #831",Willcox,AZ,ULSD,2.5986,0.2483,0.26,0,0.0821,0.01,3.199,4.049,3.199,0.85
3078,"LOVES #553",Williams,AZ,ULSD,2.4945,0.2483,0.26,0,0.1259,0.01,3.139,3.989,3.139,0.85
47463,"LOVES #971",Winslow,AZ,ULSD,2.4945,0.2483,0.26,0,0.17,0.01,3.183,4.049,3.183,0.866
3764,"LOVES #349",Yuma,AZ,ULSD,2.4507,0.2483,0.26,0,0.095,0.01,3.064,3.889,3.064,0.825
3495,"LOVES #830",Bakersfield,CA,ULSD,2.9608,0.2483,0.466,0.46568,0.0725,0.02465,4.238,4.849,4.238,0.611
5356,"LOVES #374",Barstow,CA,ULSD,2.9016,0.2483,0.466,0.47517,0.0825,0.02465,4.198,4.889,4.198,0.691
34155,"LOVES #755",Boron,CA,ULSD,2.9016,0.2483,0.466,0.46355,0.1165,0.02465,4.221,4.949,4.221,0.728
5266,"LOVES #207",Coachella,CA,ULSD,2.9104,0.2483,0.466,0.4821,0.1215,0.02465,4.253,4.789,4.253,0.536
5218,"LOVES #410",Corning,CA,ULSD,2.9144,0.2483,0.466,0.44683,0.1025,0.02465,4.203,4.789,4.203,0.586
5597,"LOVES #538",Lodi,CA,ULSD,2.8461,0.2483,0.466,0.43646,0.094,0.02465,4.116,4.789,4.116,0.673
5752,"LOVES #230","Lost Hills",CA,ULSD,2.8619,0.2483,0.466,0.45904,0.124,0.02465,4.184,4.849,4.184,0.665
1217,"LOVES #736",Madera,CA,ULSD,2.8619,0.2483,0.466,0.45603,0.1025,0.02465,4.159,5.149,4.159,0.99
42398,"LOVES #807",Patterson,CA,ULSD,2.8461,0.2483,0.466,0.4408,0.095,0.02465,4.121,5.089,4.121,0.968
5006,"LOVES #223","Ripon ",CA,ULSD,2.8461,0.2483,0.466,0.43478,0.0815,0.02465,4.101,4.989,4.101,0.888
24309,"LOVES #898",Salinas,CA,ULSD,2.8448,0.2483,0.466,0.49151,0.139,0.02465,4.214,4.989,4.214,0.775
5223,"LOVES #441","Santa Nella",CA,ULSD,2.8461,0.2483,0.466,0.43665,0.0954,0.02465,4.117,5.089,4.117,0.972
5211,"LOVES #392",Tehachapi,CA,ULSD,2.9608,0.2483,0.466,0.47429,0.134,0.02465,4.308,5.089,4.308,0.781
5578,"LOVES #382",Tulare,CA,ULSD,2.8619,0.2483,0.466,0.45603,0.1025,0.02465,4.159,4.949,4.159,0.79
44591,"LOVES #749",Westmorland,CA,ULSD,2.997,0.2483,0.466,0.45785,0.1015,0.02465,4.295,4.989,4.295,0.694
1170,"LOVES #652",Williams,CA,ULSD,2.8971,0.2483,0.466,0.46152,0.1065,0.02465,4.204,4.789,4.204,0.585
37572,"LOVES #838",BRIGHTON,CO,ULSD,2.2555,0.2483,0.205,0,0.0388,0.14175,2.889,2.989,2.889,0.1
6058,"LOVES #300",Bennett,CO,ULSD,2.2555,0.2483,0.205,0,0.049,0.14175,2.9,3.049,2.9,0.149
42150,"LOVES #668",Berthoud,CO,ULSD,2.2555,0.2483,0.205,0,0.0587,0.14175,2.909,3.589,2.909,0.68
42110,"LOVES #649",Brush,CO,ULSD,2.2555,0.2483,0.205,0,0.0792,0.14175,2.93,3.589,2.93,0.659
6134,"LOVES #644",Burlington,CO,ULSD,2.2555,0.2483,0.205,0,0.0825,0.14175,2.933,3.689,2.933,0.756
3450,"LOVES #873","Canon City",CO,ULSD,2.3117,0.2483,0.205,0,0.095,0.14175,3.002,3.589,3.002,0.587
23358,"LOVES #850",Cortez,CO,ULSD,2.578,0.2483,0.205,0,0.1155,0.14175,3.289,3.459,3.289,0.17
44096,"LOVES #653",Eads,CO,ULSD,2.2555,0.2483,0.205,0,0.1342,0.14175,2.985,3.689,2.985,0.704
6047,"LOVES #517","Grand Junction",CO,ULSD,2.2555,0.2483,0.205,0,0.2508,0.14175,3.101,3.689,3.101,0.588
6142,"LOVES #377",Hudson,CO,ULSD,2.2555,0.2483,0.205,0,0.06,0.14175,2.911,3.239,2.911,0.328
6053,"LOVES #23",Lamar,CO,ULSD,2.2418,0.2483,0.205,0,0.1385,0.14175,2.975,2.919,2.919,0
2266,"LOVES #826",Parachute,CO,ULSD,2.2555,0.2483,0.205,0,0.2508,0.14175,3.101,3.689,3.101,0.588
6038,"LOVES #226",Pueblo,CO,ULSD,2.3117,0.2483,0.205,0,0.0945,0.14175,3.001,3.589,3.001,0.588
27380,"LOVES #1035",TRINIDAD,CO,ULSD,2.3028,0.2483,0.205,0,0.149,0.14175,3.047,2.989,2.989,0
13330,"LOVES #660",Walsenburg,CO,ULSD,2.3028,0.2483,0.205,0,0.149,0.14175,3.047,2.989,2.989,0
7225,"LOVES #646",Willington,CT,ULSD,2.5246,0.2483,0.489,0,0.0761,0,3.338,4.899,3.338,1.561
10281,"LOVES #228",Auburndale,FL,ULSD,2.4524,0.2483,0.389,0,0.065,0.02072,3.175,3.789,3.175,0.614
44300,"LOVES #708",Bushnell,FL,ULSD,2.4524,0.2483,0.389,0,0.0875,0.02072,3.198,3.749,3.198,0.551
10266,"LOVES #453",Cottondale,FL,ULSD,2.4727,0.2483,0.389,0,0.0662,0.02072,3.197,3.849,3.197,0.652
39001,"LOVES #627",Davenport,FL,ULSD,2.4887,0.2483,0.389,0,0.0925,0.02072,3.239,3.849,3.239,0.61
10063,"LOVES #415","Fort Pierce",FL,ULSD,2.4787,0.2483,0.389,0,0.12,0.02072,3.257,3.989,3.257,0.732
10101,"LOVES #467","Fort Pierce",FL,ULSD,2.4787,0.2483,0.389,0,0.12,0.02072,3.257,3.989,3.257,0.732
25021,"LOVES #620",Hawthorne,FL,ULSD,2.4887,0.2483,0.389,0,0.0925,0.02072,3.239,4.049,3.239,0.81
10165,"LOVES #603",Jacksonville,FL,ULSD,2.4548,0.2483,0.389,0,0.06,0.02072,3.173,3.749,3.173,0.576
20166,"LOVES #761",Jacksonville,FL,ULSD,2.4548,0.2483,0.389,0,0.057,0.02072,3.17,4.049,3.17,0.879
27278,"LOVES #828",Jacksonville,FL,ULSD,2.4548,0.2483,0.389,0,0.065,0.02072,3.178,3.489,3.178,0.311
10393,"LOVES #470",Jasper,FL,ULSD,2.3997,0.2483,0.389,0,0.1075,0.02072,3.165,3.749,3.165,0.584
31109,"LOVES #724","Lake City",FL,ULSD,2.4524,0.2483,0.389,0,0.1506,0.02072,3.261,3.749,3.261,0.488
36087,"LOVES #674","Lake Wales",FL,ULSD,2.4887,0.2483,0.389,0,0.0875,0.02072,3.234,3.849,3.234,0.615
10382,"LOVES #379",Lee,FL,ULSD,2.4727,0.2483,0.389,0,0.105,0.02072,3.236,3.889,3.236,0.653
7138,"LOVES #802",Milton,FL,ULSD,2.4727,0.2483,0.389,0,0.1358,0.02072,3.267,3.749,3.267,0.482
49153,"LOVES #868",Mims,FL,ULSD,2.5083,0.2483,0.389,0,0.09,0.02072,3.256,3.949,3.256,0.693
