"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-21
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.218,0.2483,0.3175,0,0.1187,0.02,2.923,3.489,2.923,0.566
8313,"LOVES #877",Cullman,AL,ULSD,2.1969,0.2483,0.3175,0,0.065,0.01,2.838,3.549,2.838,0.711
36091,"LOVES #773",Eutaw,AL,ULSD,2.1969,0.2483,0.3175,0,0.0522,0.06,2.875,3.389,2.875,0.514
1106,"LOVES #225",Evergreen,AL,ULSD,2.218,0.2483,0.3175,0,0.0949,0.07,2.949,3.549,2.949,0.6
1375,"LOVES #381",Falkville,AL,ULSD,2.1969,0.2483,0.3175,0,0.0825,0.03,2.875,3.549,2.875,0.674
14312,"LOVES #814",Hamilton,AL,ULSD,2.2452,0.2483,0.3175,0,0.08,0.03,2.921,3.489,2.921,0.568
2172,"LOVES #818",Heflin,AL,ULSD,2.1969,0.2483,0.3175,0,0.065,0.03,2.858,3.489,2.858,0.631
33059,"LOVES #718","Hope Hull",AL,ULSD,2.218,0.2483,0.3175,0,0.0625,0.03,2.876,3.549,2.876,0.673
21124,"LOVES #846",Irvington,AL,ULSD,2.2839,0.2483,0.3175,0,0.07,0.03,2.95,3.549,2.95,0.599
1173,"LOVES #466",Jasper,AL,ULSD,2.1969,0.2483,0.3175,0,0.0362,0.04,2.839,3.489,2.839,0.65
1157,"LOVES #206",Loxley,AL,ULSD,2.2839,0.2483,0.3175,0,0.068,0.09,3.008,3.599,3.008,0.591
1108,"LOVES #227","Mc Calla",AL,ULSD,2.1969,0.2483,0.3175,0,0.0475,0.02,2.83,3.389,2.83,0.559
1055,"LOVES #530",Moody,AL,ULSD,2.1969,0.2483,0.3175,0,0.0675,0.08,2.91,3.489,2.91,0.579
1113,"LOVES #566",Ozark,AL,ULSD,2.3388,0.2483,0.3175,0,0.0825,0.07,3.057,3.589,3.057,0.532
1155,"LOVES #624",Prichard,AL,ULSD,2.2839,0.2483,0.3175,0,0.0675,0.08,2.997,3.549,2.997,0.552
1152,"LOVES #577",Shorter,AL,ULSD,2.218,0.2483,0.3175,0,0.0667,0.1,2.951,3.549,2.951,0.598
38263,"LOVES #774","Smiths Station",AL,ULSD,2.218,0.2483,0.3175,0,0.089,0.03,2.903,3.499,2.903,0.596
1147,"LOVES #304",Steele,AL,ULSD,2.1969,0.2483,0.3175,0,0.0587,0.08,2.901,3.889,2.901,0.988
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.1969,0.2483,0.3175,0,0.1155,0.0175,2.896,3.549,2.896,0.653
8031,"LOVES #635",Alma,AR,ULSD,2.1154,0.2483,0.285,0,0.0455,0.003,2.697,3.589,2.697,0.892
40016,"LOVES #671",Blytheville,AR,ULSD,2.294,0.2483,0.285,0,0.1025,0.003,2.933,3.639,2.933,0.706
52153,"LOVES #822",Clarksville,AR,ULSD,2.2085,0.2483,0.285,0,0.0875,0.003,2.832,3.549,2.832,0.717
6160,"LOVES #759",Hazen,AR,ULSD,2.2085,0.2483,0.285,0,0.065,0.003,2.81,3.429,2.81,0.619
4116,"LOVES #607",Jonesboro,AR,ULSD,2.2374,0.2483,0.285,0,0.0875,0.003,2.861,3.549,2.861,0.688
44598,"LOVES #689","Lake Village",AR,ULSD,2.2085,0.2483,0.285,0,0.0992,0.003,2.844,3.489,2.844,0.645
4198,"LOVES #457","Little Rock",AR,ULSD,2.2085,0.2483,0.285,0,0.06,0.003,2.805,3.449,2.805,0.644
10170,"LOVES #779",Malvern,AR,ULSD,2.2776,0.2483,0.285,0,0.087,0.003,2.901,3.749,2.901,0.848
4122,"LOVES #267",Morrilton,AR,ULSD,2.2085,0.2483,0.285,0,0.0875,0.003,2.832,3.549,2.832,0.717
4053,"LOVES #236","N Little Rock",AR,ULSD,2.2085,0.2483,0.285,0,0.06,0.003,2.805,3.349,2.805,0.544
4134,"LOVES #271",Ozark,AR,ULSD,2.2085,0.2483,0.285,0,0.0875,0.003,2.832,3.549,2.832,0.717
