"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-12
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.1251,0.2483,0.3175,0,0.1187,0.02,2.83,3.319,2.83,0.489
8313,"LOVES #877",Cullman,AL,ULSD,2.1095,0.2483,0.3175,0,0.065,0.01,2.75,3.289,2.75,0.539
36091,"LOVES #773",Eutaw,AL,ULSD,2.1095,0.2483,0.3175,0,0.0522,0.06,2.788,3.249,2.788,0.461
1106,"LOVES #225",Evergreen,AL,ULSD,2.1251,0.2483,0.3175,0,0.0949,0.07,2.856,3.289,2.856,0.433
1375,"LOVES #381",Falkville,AL,ULSD,2.1095,0.2483,0.3175,0,0.0825,0.03,2.788,3.289,2.788,0.501
14312,"LOVES #814",Hamilton,AL,ULSD,2.1552,0.2483,0.3175,0,0.08,0.03,2.831,3.319,2.831,0.488
2172,"LOVES #818",Heflin,AL,ULSD,2.1095,0.2483,0.3175,0,0.065,0.03,2.77,3.249,2.77,0.479
33059,"LOVES #718","Hope Hull",AL,ULSD,2.1251,0.2483,0.3175,0,0.0625,0.03,2.783,3.289,2.783,0.506
21124,"LOVES #846",Irvington,AL,ULSD,2.1944,0.2483,0.3175,0,0.07,0.03,2.86,3.289,2.86,0.429
1173,"LOVES #466",Jasper,AL,ULSD,2.1095,0.2483,0.3175,0,0.0362,0.04,2.752,3.319,2.752,0.567
1157,"LOVES #206",Loxley,AL,ULSD,2.1944,0.2483,0.3175,0,0.068,0.09,2.918,3.399,2.918,0.481
1108,"LOVES #227","Mc Calla",AL,ULSD,2.1095,0.2483,0.3175,0,0.0475,0.02,2.743,3.289,2.743,0.546
1055,"LOVES #530",Moody,AL,ULSD,2.1095,0.2483,0.3175,0,0.0675,0.08,2.823,3.189,2.823,0.366
1113,"LOVES #566",Ozark,AL,ULSD,2.2494,0.2483,0.3175,0,0.0825,0.07,2.968,3.459,2.968,0.491
1155,"LOVES #624",Prichard,AL,ULSD,2.1944,0.2483,0.3175,0,0.0675,0.08,2.908,3.349,2.908,0.441
1152,"LOVES #577",Shorter,AL,ULSD,2.1251,0.2483,0.3175,0,0.0667,0.1,2.858,3.439,2.858,0.581
38263,"LOVES #774","Smiths Station",AL,ULSD,2.1251,0.2483,0.3175,0,0.089,0.03,2.81,3.399,2.81,0.589
1147,"LOVES #304",Steele,AL,ULSD,2.1095,0.2483,0.3175,0,0.0587,0.08,2.814,3.749,2.814,0.935
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.1095,0.2483,0.3175,0,0.1155,0.0175,2.808,3.289,2.808,0.481
8031,"LOVES #635",Alma,AR,ULSD,1.9634,0.2483,0.285,0,0.0455,0.003,2.545,3.489,2.545,0.944
40016,"LOVES #671",Blytheville,AR,ULSD,2.2031,0.2483,0.285,0,0.1025,0.003,2.842,3.539,2.842,0.697
52153,"LOVES #822",Clarksville,AR,ULSD,2.0863,0.2483,0.285,0,0.0875,0.003,2.71,3.449,2.71,0.739
