"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-15
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.2229,0.2483,0.3175,0,0.1187,0.02,2.927,3.249,2.927,0.322
8313,"LOVES #877",Cullman,AL,ULSD,2.2046,0.2483,0.3175,0,0.065,0.01,2.845,3.389,2.845,0.544
36091,"LOVES #773",Eutaw,AL,ULSD,2.2046,0.2483,0.3175,0,0.0522,0.06,2.883,3.289,2.883,0.406
1106,"LOVES #225",Evergreen,AL,ULSD,2.2229,0.2483,0.3175,0,0.0949,0.07,2.954,3.389,2.954,0.435
1375,"LOVES #381",Falkville,AL,ULSD,2.2046,0.2483,0.3175,0,0.0825,0.03,2.883,3.289,2.883,0.406
14312,"LOVES #814",Hamilton,AL,ULSD,2.2522,0.2483,0.3175,0,0.08,0.03,2.928,3.319,2.928,0.391
2172,"LOVES #818",Heflin,AL,ULSD,2.2046,0.2483,0.3175,0,0.065,0.03,2.865,3.389,2.865,0.524
33059,"LOVES #718","Hope Hull",AL,ULSD,2.2229,0.2483,0.3175,0,0.0625,0.03,2.881,3.389,2.881,0.508
21124,"LOVES #846",Irvington,AL,ULSD,2.2911,0.2483,0.3175,0,0.07,0.03,2.957,3.389,2.957,0.432
1173,"LOVES #466",Jasper,AL,ULSD,2.2046,0.2483,0.3175,0,0.0362,0.04,2.847,3.319,2.847,0.472
1157,"LOVES #206",Loxley,AL,ULSD,2.2911,0.2483,0.3175,0,0.068,0.09,3.015,3.449,3.015,0.434
1108,"LOVES #227","Mc Calla",AL,ULSD,2.2046,0.2483,0.3175,0,0.0475,0.02,2.838,3.289,2.838,0.451
1055,"LOVES #530",Moody,AL,ULSD,2.2046,0.2483,0.3175,0,0.0675,0.08,2.918,3.389,2.918,0.471
1113,"LOVES #566",Ozark,AL,ULSD,2.3471,0.2483,0.3175,0,0.0825,0.07,3.065,3.589,3.065,0.524
1155,"LOVES #624",Prichard,AL,ULSD,2.2911,0.2483,0.3175,0,0.0675,0.08,3.004,3.389,3.004,0.385
1152,"LOVES #577",Shorter,AL,ULSD,2.2229,0.2483,0.3175,0,0.0667,0.1,2.955,3.389,2.955,0.434
38263,"LOVES #774","Smiths Station",AL,ULSD,2.2229,0.2483,0.3175,0,0.089,0.03,2.908,3.399,2.908,0.491
1147,"LOVES #304",Steele,AL,ULSD,2.2046,0.2483,0.3175,0,0.0587,0.08,2.909,3.789,2.909,0.88
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.2046,0.2483,0.3175,0,0.1155,0.0175,2.903,3.389,2.903,0.486
8031,"LOVES #635",Alma,AR,ULSD,2.0712,0.2483,0.285,0,0.0455,0.003,2.653,3.589,2.653,0.936
40016,"LOVES #671",Blytheville,AR,ULSD,2.297,0.2483,0.285,0,0.1025,0.003,2.936,3.539,2.936,0.603
52153,"LOVES #822",Clarksville,AR,ULSD,2.1857,0.2483,0.285,0,0.0875,0.003,2.81,3.449,2.81,0.639
6160,"LOVES #759",Hazen,AR,ULSD,2.1857,0.2483,0.285,0,0.065,0.003,2.787,3.349,2.787,0.562
4116,"LOVES #607",Jonesboro,AR,ULSD,2.2454,0.2483,0.285,0,0.0875,0.003,2.869,3.449,2.869,0.58
44598,"LOVES #689","Lake Village",AR,ULSD,2.1857,0.2483,0.285,0,0.0992,0.003,2.821,3.449,2.821,0.628
4198,"LOVES #457","Little Rock",AR,ULSD,2.1857,0.2483,0.285,0,0.06,0.003,2.782,3.349,2.782,0.567
10170,"LOVES #779",Malvern,AR,ULSD,2.2844,0.2483,0.285,0,0.087,0.003,2.908,3.829,2.908,0.921
