"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-05
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.1051,0.2483,0.3175,0,0.1187,0.02,2.81,3.349,2.81,0.539
8313,"LOVES #877",Cullman,AL,ULSD,2.0889,0.2483,0.3175,0,0.065,0.01,2.73,3.289,2.73,0.559
36091,"LOVES #773",Eutaw,AL,ULSD,2.0889,0.2483,0.3175,0,0.0522,0.06,2.767,3.119,2.767,0.352
1106,"LOVES #225",Evergreen,AL,ULSD,2.1051,0.2483,0.3175,0,0.0949,0.07,2.836,3.289,2.836,0.453
1375,"LOVES #381",Falkville,AL,ULSD,2.0889,0.2483,0.3175,0,0.0825,0.03,2.767,3.289,2.767,0.522
14312,"LOVES #814",Hamilton,AL,ULSD,2.1219,0.2483,0.3175,0,0.08,0.03,2.798,3.389,2.798,0.591
2172,"LOVES #818",Heflin,AL,ULSD,2.0889,0.2483,0.3175,0,0.065,0.03,2.75,3.249,2.75,0.499
33059,"LOVES #718","Hope Hull",AL,ULSD,2.1051,0.2483,0.3175,0,0.0625,0.03,2.763,3.289,2.763,0.526
21124,"LOVES #846",Irvington,AL,ULSD,2.1732,0.2483,0.3175,0,0.07,0.03,2.839,3.249,2.839,0.41
1173,"LOVES #466",Jasper,AL,ULSD,2.0889,0.2483,0.3175,0,0.0362,0.04,2.731,3.289,2.731,0.558
1157,"LOVES #206",Loxley,AL,ULSD,2.1732,0.2483,0.3175,0,0.068,0.09,2.897,3.499,2.897,0.602
1108,"LOVES #227","Mc Calla",AL,ULSD,2.0889,0.2483,0.3175,0,0.0475,0.02,2.722,3.319,2.722,0.597
1055,"LOVES #530",Moody,AL,ULSD,2.0889,0.2483,0.3175,0,0.0675,0.08,2.802,3.289,2.802,0.487
1113,"LOVES #566",Ozark,AL,ULSD,2.2258,0.2483,0.3175,0,0.0825,0.07,2.944,3.559,2.944,0.615
1155,"LOVES #624",Prichard,AL,ULSD,2.1732,0.2483,0.3175,0,0.0675,0.08,2.887,3.299,2.887,0.412
1152,"LOVES #577",Shorter,AL,ULSD,2.1051,0.2483,0.3175,0,0.0667,0.1,2.838,3.449,2.838,0.611
38263,"LOVES #774","Smiths Station",AL,ULSD,2.1051,0.2483,0.3175,0,0.089,0.03,2.79,3.399,2.79,0.609
1147,"LOVES #304",Steele,AL,ULSD,2.0889,0.2483,0.3175,0,0.0587,0.08,2.793,3.749,2.793,0.956
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.0889,0.2483,0.3175,0,0.1155,0.0175,2.788,3.289,2.788,0.501
8031,"LOVES #635",Alma,AR,ULSD,1.9429,0.2483,0.285,0,0.0455,0.003,2.525,3.489,2.525,0.964
40016,"LOVES #671",Blytheville,AR,ULSD,2.1784,0.2483,0.285,0,0.1025,0.003,2.817,3.539,2.817,0.722
52153,"LOVES #822",Clarksville,AR,ULSD,2.0594,0.2483,0.285,0,0.0875,0.003,2.683,3.449,2.683,0.766
6160,"LOVES #759",Hazen,AR,ULSD,2.0594,0.2483,0.285,0,0.065,0.003,2.661,3.239,2.661,0.578
4116,"LOVES #607",Jonesboro,AR,ULSD,2.1262,0.2483,0.285,0,0.0875,0.003,2.75,3.319,2.75,0.569
44598,"LOVES #689","Lake Village",AR,ULSD,2.0594,0.2483,0.285,0,0.0992,0.003,2.695,3.469,2.695,0.774
4198,"LOVES #457","Little Rock",AR,ULSD,2.0594,0.2483,0.285,0,0.06,0.003,2.656,3.199,2.656,0.543
10170,"LOVES #779",Malvern,AR,ULSD,2.1511,0.2483,0.285,0,0.087,0.003,2.774,3.889,2.774,1.115
4122,"LOVES #267",Morrilton,AR,ULSD,2.0594,0.2483,0.285,0,0.0875,0.003,2.683,3.339,2.683,0.656
4053,"LOVES #236","N Little Rock",AR,ULSD,2.0594,0.2483,0.285,0,0.06,0.003,2.656,3.199,2.656,0.543
4134,"LOVES #271",Ozark,AR,ULSD,2.0594,0.2483,0.285,0,0.0875,0.003,2.683,3.449,2.683,0.766
4150,"LOVES #275",Palestine,AR,ULSD,2.1262,0.2483,0.285,0,0.0555,0.003,2.718,3.359,2.718,0.641
35130,"LOVES #661","Pine Bluff",AR,ULSD,2.0594,0.2483,0.285,0,0.0751,0.003,2.671,3.189,2.671,0.518
4321,"LOVES #277",Prescott,AR,ULSD,2.1511,0.2483,0.285,0,0.0884,0.003,2.776,3.929,2.776,1.153
21236,"LOVES #884",Prescott,AR,ULSD,2.1511,0.2483,0.285,0,0.0884,0.003,2.776,3.929,2.776,1.153
4075,"LOVES #557",Searcy,AR,ULSD,2.0594,0.2483,0.285,0,0.07,0.003,2.666,3.449,2.666,0.783
4037,"LOVES #450","West Memphis",AR,ULSD,2.1262,0.2483,0.285,0,0.0575,0.003,2.72,3.489,2.72,0.769
3313,"LOVES #460",Benson,AZ,ULSD,2.3867,0.2483,0.26,0,0.0908,0.01,2.996,3.419,2.996,0.423
3079,"LOVES #280",Buckeye,AZ,ULSD,2.3151,0.2483,0.26,0,0.0758,0.01,2.909,3.159,2.909,0.25
3753,"LOVES #328","Chandler ",AZ,ULSD,2.3151,0.2483,0.26,0,0.0387,0.01,2.872,3.489,2.872,0.617
30448,"LOVES #972",ELOY,AZ,ULSD,2.3151,0.2483,0.26,0,0.0725,0.01,2.906,3.549,2.906,0.643
3087,"LOVES #265",Eloy,AZ,ULSD,2.3151,0.2483,0.26,0,0.0725,0.01,2.906,3.549,2.906,0.643
3084,"LOVES #296","Gila Bend",AZ,ULSD,2.3151,0.2483,0.26,0,0.1025,0.01,2.936,3.649,2.936,0.713
3082,"LOVES #278","Joseph City",AZ,ULSD,2.1144,0.2483,0.26,0,0.1899,0.01,2.823,3.349,2.823,0.526
3028,"LOVES #272",Kingman,AZ,ULSD,2.3012,0.2483,0.26,0,0.1558,0.01,2.975,3.749,2.975,0.774
3244,"LOVES #386","Lake Havasu City",AZ,ULSD,2.3012,0.2483,0.26,0,0.167,0.01,2.987,3.749,2.987,0.762
29105,"LOVES #722",Mayer,AZ,ULSD,2.3151,0.2483,0.26,0,0.0975,0.01,2.931,3.579,2.931,0.648
30348,"LOVES #350",Nogales,AZ,ULSD,2.3867,0.2483,0.26,0,0.0597,0.01,2.965,3.659,2.965,0.694
3081,"LOVES #286",Quartzsite,AZ,ULSD,2.3151,0.2483,0.26,0,0.135,0.01,2.968,3.889,2.968,0.921
3134,"LOVES #659",Tolleson,AZ,ULSD,2.3151,0.2483,0.26,0,0.062,0.01,2.895,3.149,2.895,0.254
49246,"LOVES #831",Willcox,AZ,ULSD,2.3867,0.2483,0.26,0,0.0821,0.01,2.987,3.769,2.987,0.782
3078,"LOVES #553",Williams,AZ,ULSD,2.3151,0.2483,0.26,0,0.1259,0.01,2.959,3.199,2.959,0.24
47463,"LOVES #971",Winslow,AZ,ULSD,2.3151,0.2483,0.26,0,0.17,0.01,3.003,3.399,3.003,0.396
3764,"LOVES #349",Yuma,AZ,ULSD,2.335,0.2483,0.26,0,0.095,0.01,2.948,3.419,2.948,0.471
