"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-30
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.3942,0.2483,0.3175,0,0.1187,0.02,3.099,3.689,3.099,0.59
8313,"LOVES #877",Cullman,AL,ULSD,2.3821,0.2483,0.3175,0,0.065,0.01,3.023,3.789,3.023,0.766
36091,"LOVES #773",Eutaw,AL,ULSD,2.3821,0.2483,0.3175,0,0.0522,0.06,3.06,3.649,3.06,0.589
1106,"LOVES #225",Evergreen,AL,ULSD,2.3942,0.2483,0.3175,0,0.0949,0.07,3.125,3.749,3.125,0.624
1375,"LOVES #381",Falkville,AL,ULSD,2.3821,0.2483,0.3175,0,0.0825,0.03,3.06,3.789,3.06,0.729
14312,"LOVES #814",Hamilton,AL,ULSD,2.4148,0.2483,0.3175,0,0.08,0.03,3.091,3.689,3.091,0.598
2172,"LOVES #818",Heflin,AL,ULSD,2.3821,0.2483,0.3175,0,0.065,0.03,3.043,3.689,3.043,0.646
33059,"LOVES #718","Hope Hull",AL,ULSD,2.3942,0.2483,0.3175,0,0.0625,0.03,3.053,3.749,3.053,0.696
21124,"LOVES #846",Irvington,AL,ULSD,2.4581,0.2483,0.3175,0,0.07,0.03,3.124,3.789,3.124,0.665
1173,"LOVES #466",Jasper,AL,ULSD,2.3821,0.2483,0.3175,0,0.0362,0.04,3.024,3.689,3.024,0.665
1157,"LOVES #206",Loxley,AL,ULSD,2.4581,0.2483,0.3175,0,0.068,0.09,3.182,3.849,3.182,0.667
1108,"LOVES #227","Mc Calla",AL,ULSD,2.3821,0.2483,0.3175,0,0.0475,0.02,3.015,3.649,3.015,0.634
1055,"LOVES #530",Moody,AL,ULSD,2.3821,0.2483,0.3175,0,0.0675,0.08,3.095,3.689,3.095,0.594
1113,"LOVES #566",Ozark,AL,ULSD,2.512,0.2483,0.3175,0,0.0825,0.07,3.23,3.789,3.23,0.559
1155,"LOVES #624",Prichard,AL,ULSD,2.4581,0.2483,0.3175,0,0.0675,0.08,3.171,3.789,3.171,0.618
1152,"LOVES #577",Shorter,AL,ULSD,2.3942,0.2483,0.3175,0,0.0667,0.1,3.127,3.749,3.127,0.622
38263,"LOVES #774","Smiths Station",AL,ULSD,2.3942,0.2483,0.3175,0,0.089,0.03,3.079,3.699,3.079,0.62
1147,"LOVES #304",Steele,AL,ULSD,2.3821,0.2483,0.3175,0,0.0587,0.08,3.087,3.889,3.087,0.802
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.3821,0.2483,0.3175,0,0.1155,0.0175,3.081,3.789,3.081,0.708
8031,"LOVES #635",Alma,AR,ULSD,2.3169,0.2483,0.285,0,0.0455,0.003,2.899,3.649,2.899,0.75
40016,"LOVES #671",Blytheville,AR,ULSD,2.4867,0.2483,0.285,0,0.1025,0.003,3.126,3.739,3.126,0.613
52153,"LOVES #822",Clarksville,AR,ULSD,2.3931,0.2483,0.285,0,0.0875,0.003,3.017,3.589,3.017,0.572
6160,"LOVES #759",Hazen,AR,ULSD,2.3931,0.2483,0.285,0,0.065,0.003,2.994,3.649,2.994,0.655
4116,"LOVES #607",Jonesboro,AR,ULSD,2.4095,0.2483,0.285,0,0.0875,0.003,3.033,3.649,3.033,0.616
44598,"LOVES #689","Lake Village",AR,ULSD,2.3931,0.2483,0.285,0,0.0992,0.003,3.029,3.589,3.029,0.56
4198,"LOVES #457","Little Rock",AR,ULSD,2.3931,0.2483,0.285,0,0.06,0.003,2.989,3.589,2.989,0.6
10170,"LOVES #779",Malvern,AR,ULSD,2.4504,0.2483,0.285,0,0.087,0.003,3.074,3.849,3.074,0.775
4122,"LOVES #267",Morrilton,AR,ULSD,2.3931,0.2483,0.285,0,0.0875,0.003,3.017,3.589,3.017,0.572
4053,"LOVES #236","N Little Rock",AR,ULSD,2.3931,0.2483,0.285,0,0.06,0.003,2.989,3.589,2.989,0.6
4134,"LOVES #271",Ozark,AR,ULSD,2.3931,0.2483,0.285,0,0.0875,0.003,3.017,3.589,3.017,0.572
4150,"LOVES #275",Palestine,AR,ULSD,2.4095,0.2483,0.285,0,0.0555,0.003,3.001,3.689,3.001,0.688
35130,"LOVES #661","Pine Bluff",AR,ULSD,2.3931,0.2483,0.285,0,0.0751,0.003,3.005,3.589,3.005,0.584
4321,"LOVES #277",Prescott,AR,ULSD,2.4504,0.2483,0.285,0,0.0884,0.003,3.075,3.989,3.075,0.914
21236,"LOVES #884",Prescott,AR,ULSD,2.4504,0.2483,0.285,0,0.0884,0.003,3.075,3.989,3.075,0.914
4075,"LOVES #557",Searcy,AR,ULSD,2.3931,0.2483,0.285,0,0.07,0.003,2.999,3.649,2.999,0.65
4037,"LOVES #450","West Memphis",AR,ULSD,2.4095,0.2483,0.285,0,0.0575,0.003,3.003,3.689,3.003,0.686
3313,"LOVES #460",Benson,AZ,ULSD,2.6269,0.2483,0.26,0,0.0908,0.01,3.236,3.789,3.236,0.553
3079,"LOVES #280",Buckeye,AZ,ULSD,2.5966,0.2483,0.26,0,0.0758,0.01,3.191,4.049,3.191,0.858
3753,"LOVES #328","Chandler ",AZ,ULSD,2.5966,0.2483,0.26,0,0.0387,0.01,3.154,4.089,3.154,0.935
30448,"LOVES #972",ELOY,AZ,ULSD,2.5966,0.2483,0.26,0,0.0725,0.01,3.187,4.089,3.187,0.902
3087,"LOVES #265",Eloy,AZ,ULSD,2.5966,0.2483,0.26,0,0.0725,0.01,3.187,4.089,3.187,0.902
3084,"LOVES #296","Gila Bend",AZ,ULSD,2.5966,0.2483,0.26,0,0.1025,0.01,3.217,4.049,3.217,0.832
3082,"LOVES #278","Joseph City",AZ,ULSD,2.5085,0.2483,0.26,0,0.1899,0.01,3.217,4.189,3.217,0.972
3028,"LOVES #272",Kingman,AZ,ULSD,2.5932,0.2483,0.26,0,0.1558,0.01,3.267,4.089,3.267,0.822
3244,"LOVES #386","Lake Havasu City",AZ,ULSD,2.5932,0.2483,0.26,0,0.167,0.01,3.279,4.089,3.279,0.81
29105,"LOVES #722",Mayer,AZ,ULSD,2.5966,0.2483,0.26,0,0.0975,0.01,3.212,4.089,3.212,0.877
30348,"LOVES #350",Nogales,AZ,ULSD,2.6269,0.2483,0.26,0,0.0597,0.01,3.205,3.789,3.205,0.584
3081,"LOVES #286",Quartzsite,AZ,ULSD,2.5966,0.2483,0.26,0,0.135,0.01,3.25,4.089,3.25,0.839
3134,"LOVES #659",Tolleson,AZ,ULSD,2.5966,0.2483,0.26,0,0.062,0.01,3.177,4.089,3.177,0.912
49246,"LOVES #831",Willcox,AZ,ULSD,2.6269,0.2483,0.26,0,0.0821,0.01,3.227,4.189,3.227,0.962
3078,"LOVES #553",Williams,AZ,ULSD,2.5966,0.2483,0.26,0,0.1259,0.01,3.241,4.149,3.241,0.908
47463,"LOVES #971",Winslow,AZ,ULSD,2.5966,0.2483,0.26,0,0.17,0.01,3.285,4.189,3.285,0.904
3764,"LOVES #349",Yuma,AZ,ULSD,2.5577,0.2483,0.26,0,0.095,0.01,3.171,3.989,3.171,0.818
3495,"LOVES #830",Bakersfield,CA,ULSD,3.0596,0.2483,0.466,0.47951,0.0725,0.02465,4.351,4.989,4.351,0.638
5356,"LOVES #374",Barstow,CA,ULSD,3.0013,0.2483,0.466,0.48963,0.0825,0.02465,4.312,4.989,4.312,0.677
34155,"LOVES #755",Boron,CA,ULSD,3.0013,0.2483,0.466,0.47751,0.1165,0.02465,4.334,5.149,4.334,0.815
5266,"LOVES #207",Coachella,CA,ULSD,3.0066,0.2483,0.466,0.49605,0.1215,0.02465,4.363,4.889,4.363,0.526
5218,"LOVES #410",Corning,CA,ULSD,3.028,0.2483,0.466,0.46217,0.1025,0.02465,4.332,4.989,4.332,0.657
5597,"LOVES #538",Lodi,CA,ULSD,2.9894,0.2483,0.466,0.45581,0.094,0.02465,4.278,4.949,4.278,0.671
5752,"LOVES #230","Lost Hills",CA,ULSD,2.9751,0.2483,0.466,0.47489,0.124,0.02465,4.313,4.989,4.313,0.676
1217,"LOVES #736",Madera,CA,ULSD,2.9751,0.2483,0.466,0.47188,0.1025,0.02465,4.288,5.149,4.288,0.861
42398,"LOVES #807",Patterson,CA,ULSD,2.9894,0.2483,0.466,0.46033,0.095,0.02465,4.284,5.149,4.284,0.865
5006,"LOVES #223","Ripon ",CA,ULSD,2.9894,0.2483,0.466,0.45412,0.0815,0.02465,4.264,5.049,4.264,0.785
24309,"LOVES #898",Salinas,CA,ULSD,2.9755,0.2483,0.466,0.51112,0.139,0.02465,4.365,5.149,4.365,0.784
5223,"LOVES #441","Santa Nella",CA,ULSD,2.9894,0.2483,0.466,0.456,0.0954,0.02465,4.28,5.189,4.28,0.909
5211,"LOVES #392",Tehachapi,CA,ULSD,3.0596,0.2483,0.466,0.48812,0.134,0.02465,4.421,5.149,4.421,0.728
5578,"LOVES #382",Tulare,CA,ULSD,2.9751,0.2483,0.466,0.47188,0.1025,0.02465,4.288,5.049,4.288,0.761
44591,"LOVES #749",Westmorland,CA,ULSD,3.0909,0.2483,0.466,0.47052,0.1015,0.02465,4.402,5.149,4.402,0.747
1170,"LOVES #652",Williams,CA,ULSD,3.0279,0.2483,0.466,0.47983,0.1065,0.02465,4.353,4.949,4.353,0.596
37572,"LOVES #838",BRIGHTON,CO,ULSD,2.4598,0.2483,0.205,0,0.0388,0.14175,3.094,3.249,3.094,0.155
6058,"LOVES #300",Bennett,CO,ULSD,2.4598,0.2483,0.205,0,0.049,0.14175,3.104,3.349,3.104,0.245
42150,"LOVES #668",Berthoud,CO,ULSD,2.4598,0.2483,0.205,0,0.0587,0.14175,3.114,3.749,3.114,0.635
42110,"LOVES #649",Brush,CO,ULSD,2.4598,0.2483,0.205,0,0.0792,0.14175,3.134,3.589,3.134,0.455
6134,"LOVES #644",Burlington,CO,ULSD,2.4598,0.2483,0.205,0,0.0825,0.14175,3.137,3.789,3.137,0.652
3450,"LOVES #873","Canon City",CO,ULSD,2.5019,0.2483,0.205,0,0.095,0.14175,3.192,3.749,3.192,0.557
23358,"LOVES #850",Cortez,CO,ULSD,2.6229,0.2483,0.205,0,0.1155,0.14175,3.333,3.689,3.333,0.356
44096,"LOVES #653",Eads,CO,ULSD,2.4598,0.2483,0.205,0,0.1342,0.14175,3.189,3.649,3.189,0.46
6047,"LOVES #517","Grand Junction",CO,ULSD,2.4598,0.2483,0.205,0,0.2508,0.14175,3.306,3.789,3.306,0.483
6142,"LOVES #377",Hudson,CO,ULSD,2.4598,0.2483,0.205,0,0.06,0.14175,3.115,3.449,3.115,0.334
6053,"LOVES #23",Lamar,CO,ULSD,2.3209,0.2483,0.205,0,0.1385,0.14175,3.054,3.199,3.054,0.145
2266,"LOVES #826",Parachute,CO,ULSD,2.4598,0.2483,0.205,0,0.2508,0.14175,3.306,3.889,3.306,0.583
6038,"LOVES #226",Pueblo,CO,ULSD,2.5019,0.2483,0.205,0,0.0945,0.14175,3.191,3.749,3.191,0.558
27380,"LOVES #1035",TRINIDAD,CO,ULSD,2.4883,0.2483,0.205,0,0.149,0.14175,3.232,3.389,3.232,0.157
13330,"LOVES #660",Walsenburg,CO,ULSD,2.4883,0.2483,0.205,0,0.149,0.14175,3.232,3.389,3.232,0.157
7225,"LOVES #646",Willington,CT,ULSD,2.8049,0.2483,0.489,0,0.0761,0,3.618,4.899,3.618,1.281
10281,"LOVES #228",Auburndale,FL,ULSD,2.4926,0.2483,0.389,0,0.065,0.02072,3.216,3.769,3.216,0.553
44300,"LOVES #708",Bushnell,FL,ULSD,2.4926,0.2483,0.389,0,0.0875,0.02072,3.238,3.759,3.238,0.521
10266,"LOVES #453",Cottondale,FL,ULSD,2.512,0.2483,0.389,0,0.0662,0.02072,3.236,3.789,3.236,0.553
39001,"LOVES #627",Davenport,FL,ULSD,2.5338,0.2483,0.389,0,0.0925,0.02072,3.284,3.849,3.284,0.565
10063,"LOVES #415","Fort Pierce",FL,ULSD,2.5153,0.2483,0.389,0,0.12,0.02072,3.293,3.989,3.293,0.696
10101,"LOVES #467","Fort Pierce",FL,ULSD,2.5153,0.2483,0.389,0,0.12,0.02072,3.293,3.949,3.293,0.656
25021,"LOVES #620",Hawthorne,FL,ULSD,2.5338,0.2483,0.389,0,0.0925,0.02072,3.284,4.049,3.284,0.765
10165,"LOVES #603",Jacksonville,FL,ULSD,2.4967,0.2483,0.389,0,0.06,0.02072,3.215,3.789,3.215,0.574
20166,"LOVES #761",Jacksonville,FL,ULSD,2.4967,0.2483,0.389,0,0.057,0.02072,3.212,4.089,3.212,0.877
27278,"LOVES #828",Jacksonville,FL,ULSD,2.4967,0.2483,0.389,0,0.065,0.02072,3.22,3.689,3.22,0.469
10393,"LOVES #470",Jasper,FL,ULSD,2.4619,0.2483,0.389,0,0.1075,0.02072,3.227,3.849,3.227,0.622
31109,"LOVES #724","Lake City",FL,ULSD,2.4926,0.2483,0.389,0,0.1506,0.02072,3.301,3.749,3.301,0.448
36087,"LOVES #674","Lake Wales",FL,ULSD,2.5338,0.2483,0.389,0,0.0875,0.02072,3.279,3.889,3.279,0.61
10382,"LOVES #379",Lee,FL,ULSD,2.512,0.2483,0.389,0,0.105,0.02072,3.275,3.989,3.275,0.714
7138,"LOVES #802",Milton,FL,ULSD,2.512,0.2483,0.389,0,0.1358,0.02072,3.306,3.789,3.306,0.483
49153,"LOVES #868",Mims,FL,ULSD,2.5508,0.2483,0.389,0,0.09,0.02072,3.299,3.949,3.299,0.65
49044,"LOVES #683","Moore Haven",FL,ULSD,2.5197,0.2483,0.389,0,0.1,0.02072,3.278,3.989,3.278,0.711
10127,"LOVES #561","Mossy Head",FL,ULSD,2.512,0.2483,0.389,0,0.0985,0.02072,3.269,3.789,3.269,0.52
10118,"LOVES #495","North Fort Myers",FL,ULSD,2.4926,0.2483,0.389,0,0.1225,0.02072,3.273,3.989,3.273,0.716
10252,"LOVES #363",Ocala,FL,ULSD,2.4926,0.2483,0.389,0,0.1175,0.02072,3.268,3.889,3.268,0.621
10638,"LOVES #316","Ormond Beach",FL,ULSD,2.5508,0.2483,0.389,0,0.09,0.02072,3.299,3.989,3.299,0.69
36370,"LOVES #894","St Augustine",FL,ULSD,2.4967,0.2483,0.389,0,0.075,0.02072,3.23,4.049,3.23,0.819
26156,"LOVES #808",Albany,GA,ULSD,2.4619,0.2483,0.373,0,0.07,0.0975,3.251,3.989,3.251,0.738
11188,"LOVES #405",Brunswick,GA,ULSD,2.4967,0.2483,0.373,0,0.0595,0.0975,3.275,3.849,3.275,0.574
27148,"LOVES #735",Calhoun,GA,ULSD,2.3909,0.2483,0.373,0,0.0625,0.1275,3.202,3.789,3.202,0.587
