"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-14
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.1434,0.2483,0.3175,0,0.1187,0.02,2.848,3.319,2.848,0.471
8313,"LOVES #877",Cullman,AL,ULSD,2.1269,0.2483,0.3175,0,0.065,0.01,2.768,3.389,2.768,0.621
36091,"LOVES #773",Eutaw,AL,ULSD,2.1269,0.2483,0.3175,0,0.0522,0.06,2.805,3.249,2.805,0.444
1106,"LOVES #225",Evergreen,AL,ULSD,2.1434,0.2483,0.3175,0,0.0949,0.07,2.874,3.289,2.874,0.415
1375,"LOVES #381",Falkville,AL,ULSD,2.1269,0.2483,0.3175,0,0.0825,0.03,2.805,3.289,2.805,0.484
14312,"LOVES #814",Hamilton,AL,ULSD,2.172,0.2483,0.3175,0,0.08,0.03,2.848,3.319,2.848,0.471
2172,"LOVES #818",Heflin,AL,ULSD,2.1269,0.2483,0.3175,0,0.065,0.03,2.788,3.249,2.788,0.461
33059,"LOVES #718","Hope Hull",AL,ULSD,2.1434,0.2483,0.3175,0,0.0625,0.03,2.802,3.289,2.802,0.487
21124,"LOVES #846",Irvington,AL,ULSD,2.2135,0.2483,0.3175,0,0.07,0.03,2.879,3.289,2.879,0.41
1173,"LOVES #466",Jasper,AL,ULSD,2.1269,0.2483,0.3175,0,0.0362,0.04,2.769,3.319,2.769,0.55
1157,"LOVES #206",Loxley,AL,ULSD,2.2135,0.2483,0.3175,0,0.068,0.09,2.937,3.399,2.937,0.462
1108,"LOVES #227","Mc Calla",AL,ULSD,2.1269,0.2483,0.3175,0,0.0475,0.02,2.76,3.289,2.76,0.529
1055,"LOVES #530",Moody,AL,ULSD,2.1269,0.2483,0.3175,0,0.0675,0.08,2.84,3.179,2.84,0.339
1113,"LOVES #566",Ozark,AL,ULSD,2.268,0.2483,0.3175,0,0.0825,0.07,2.986,3.459,2.986,0.473
1155,"LOVES #624",Prichard,AL,ULSD,2.2135,0.2483,0.3175,0,0.0675,0.08,2.927,3.349,2.927,0.422
1152,"LOVES #577",Shorter,AL,ULSD,2.1434,0.2483,0.3175,0,0.0667,0.1,2.876,3.339,2.876,0.463
38263,"LOVES #774","Smiths Station",AL,ULSD,2.1434,0.2483,0.3175,0,0.089,0.03,2.828,3.399,2.828,0.571
1147,"LOVES #304",Steele,AL,ULSD,2.1269,0.2483,0.3175,0,0.0587,0.08,2.831,3.749,2.831,0.918
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.1269,0.2483,0.3175,0,0.1155,0.0175,2.826,3.289,2.826,0.463
8031,"LOVES #635",Alma,AR,ULSD,1.9918,0.2483,0.285,0,0.0455,0.003,2.574,3.489,2.574,0.915
40016,"LOVES #671",Blytheville,AR,ULSD,2.221,0.2483,0.285,0,0.1025,0.003,2.86,3.539,2.86,0.679
52153,"LOVES #822",Clarksville,AR,ULSD,2.106,0.2483,0.285,0,0.0875,0.003,2.73,3.449,2.73,0.719
6160,"LOVES #759",Hazen,AR,ULSD,2.106,0.2483,0.285,0,0.065,0.003,2.707,3.239,2.707,0.532
4116,"LOVES #607",Jonesboro,AR,ULSD,2.167,0.2483,0.285,0,0.0875,0.003,2.791,3.319,2.791,0.528
44598,"LOVES #689","Lake Village",AR,ULSD,2.106,0.2483,0.285,0,0.0992,0.003,2.742,3.389,2.742,0.647
4198,"LOVES #457","Little Rock",AR,ULSD,2.106,0.2483,0.285,0,0.06,0.003,2.702,3.239,2.702,0.537
10170,"LOVES #779",Malvern,AR,ULSD,2.2039,0.2483,0.285,0,0.087,0.003,2.827,3.829,2.827,1.002
4122,"LOVES #267",Morrilton,AR,ULSD,2.106,0.2483,0.285,0,0.0875,0.003,2.73,3.329,2.73,0.599
4053,"LOVES #236","N Little Rock",AR,ULSD,2.106,0.2483,0.285,0,0.06,0.003,2.702,3.239,2.702,0.537
4134,"LOVES #271",Ozark,AR,ULSD,2.106,0.2483,0.285,0,0.0875,0.003,2.73,3.449,2.73,0.719
4150,"LOVES #275",Palestine,AR,ULSD,2.167,0.2483,0.285,0,0.0555,0.003,2.759,3.259,2.759,0.5
35130,"LOVES #661","Pine Bluff",AR,ULSD,2.106,0.2483,0.285,0,0.0751,0.003,2.717,3.179,2.717,0.462
4321,"LOVES #277",Prescott,AR,ULSD,2.2039,0.2483,0.285,0,0.0884,0.003,2.829,3.889,2.829,1.06
21236,"LOVES #884",Prescott,AR,ULSD,2.2039,0.2483,0.285,0,0.0884,0.003,2.829,3.889,2.829,1.06
4075,"LOVES #557",Searcy,AR,ULSD,2.106,0.2483,0.285,0,0.07,0.003,2.712,3.449,2.712,0.737
4037,"LOVES #450","West Memphis",AR,ULSD,2.167,0.2483,0.285,0,0.0575,0.003,2.761,3.399,2.761,0.638
3313,"LOVES #460",Benson,AZ,ULSD,2.3739,0.2483,0.26,0,0.0908,0.01,2.983,3.379,2.983,0.396
3079,"LOVES #280",Buckeye,AZ,ULSD,2.2887,0.2483,0.26,0,0.0758,0.01,2.883,3.249,2.883,0.366
3753,"LOVES #328","Chandler ",AZ,ULSD,2.2887,0.2483,0.26,0,0.0387,0.01,2.846,3.449,2.846,0.603
30448,"LOVES #972",ELOY,AZ,ULSD,2.2887,0.2483,0.26,0,0.0725,0.01,2.88,3.549,2.88,0.669
3087,"LOVES #265",Eloy,AZ,ULSD,2.2887,0.2483,0.26,0,0.0725,0.01,2.88,3.549,2.88,0.669
3084,"LOVES #296","Gila Bend",AZ,ULSD,2.2887,0.2483,0.26,0,0.1025,0.01,2.91,3.649,2.91,0.739
3082,"LOVES #278","Joseph City",AZ,ULSD,2.1713,0.2483,0.26,0,0.1899,0.01,2.88,3.389,2.88,0.509
3028,"LOVES #272",Kingman,AZ,ULSD,2.2362,0.2483,0.26,0,0.1558,0.01,2.91,3.749,2.91,0.839
3244,"LOVES #386","Lake Havasu City",AZ,ULSD,2.2362,0.2483,0.26,0,0.167,0.01,2.922,3.749,2.922,0.827
29105,"LOVES #722",Mayer,AZ,ULSD,2.2887,0.2483,0.26,0,0.0975,0.01,2.905,3.579,2.905,0.674
30348,"LOVES #350",Nogales,AZ,ULSD,2.3739,0.2483,0.26,0,0.0597,0.01,2.952,3.599,2.952,0.647
3081,"LOVES #286",Quartzsite,AZ,ULSD,2.2887,0.2483,0.26,0,0.135,0.01,2.942,3.849,2.942,0.907
3134,"LOVES #659",Tolleson,AZ,ULSD,2.2887,0.2483,0.26,0,0.062,0.01,2.869,3.249,2.869,0.38
49246,"LOVES #831",Willcox,AZ,ULSD,2.3739,0.2483,0.26,0,0.0821,0.01,2.974,3.649,2.974,0.675
3078,"LOVES #553",Williams,AZ,ULSD,2.2887,0.2483,0.26,0,0.1259,0.01,2.933,3.449,2.933,0.516
47463,"LOVES #971",Winslow,AZ,ULSD,2.2887,0.2483,0.26,0,0.17,0.01,2.977,3.389,2.977,0.412
3764,"LOVES #349",Yuma,AZ,ULSD,2.2334,0.2483,0.26,0,0.095,0.01,2.847,3.419,2.847,0.572
3495,"LOVES #830",Bakersfield,CA,ULSD,2.7187,0.2483,0.466,0.43178,0.0725,0.02465,3.962,4.389,3.962,0.427
5356,"LOVES #374",Barstow,CA,ULSD,2.6799,0.2483,0.466,0.44303,0.0825,0.02465,3.944,4.689,3.944,0.745
34155,"LOVES #755",Boron,CA,ULSD,2.6799,0.2483,0.466,0.43251,0.1165,0.02465,3.968,4.949,3.968,0.981
5266,"LOVES #207",Coachella,CA,ULSD,2.6916,0.2483,0.466,0.45038,0.1215,0.02465,4.002,4.329,4.002,0.327
5218,"LOVES #410",Corning,CA,ULSD,2.6295,0.2483,0.466,0.40837,0.1025,0.02465,3.879,4.249,3.879,0.37
5597,"LOVES #538",Lodi,CA,ULSD,2.5806,0.2483,0.466,0.40062,0.094,0.02465,3.814,4.689,3.814,0.875
5752,"LOVES #230","Lost Hills",CA,ULSD,2.5859,0.2483,0.466,0.4204,0.124,0.02465,3.869,4.269,3.869,0.4
1217,"LOVES #736",Madera,CA,ULSD,2.5859,0.2483,0.466,0.41739,0.1025,0.02465,3.845,4.889,3.845,1.044
42398,"LOVES #807",Patterson,CA,ULSD,2.5806,0.2483,0.466,0.40461,0.095,0.02465,3.819,4.849,3.819,1.03
5006,"LOVES #223","Ripon ",CA,ULSD,2.5806,0.2483,0.466,0.39893,0.0815,0.02465,3.8,4.789,3.8,0.989
24309,"LOVES #898",Salinas,CA,ULSD,2.5773,0.2483,0.466,0.45139,0.139,0.02465,3.907,4.889,3.907,0.982
5223,"LOVES #441","Santa Nella",CA,ULSD,2.5806,0.2483,0.466,0.40081,0.0954,0.02465,3.816,4.519,3.816,0.703
5211,"LOVES #392",Tehachapi,CA,ULSD,2.7187,0.2483,0.466,0.44039,0.134,0.02465,4.032,4.949,4.032,0.917
5578,"LOVES #382",Tulare,CA,ULSD,2.5859,0.2483,0.466,0.41739,0.1025,0.02465,3.845,4.649,3.845,0.804
44591,"LOVES #749",Westmorland,CA,ULSD,2.7885,0.2483,0.466,0.4297,0.1015,0.02465,4.059,4.659,4.059,0.6
1170,"LOVES #652",Williams,CA,ULSD,2.6315,0.2483,0.466,0.42433,0.1065,0.02465,3.901,4.589,3.901,0.688
37572,"LOVES #838",BRIGHTON,CO,ULSD,1.9673,0.2483,0.205,0,0.0388,0.14175,2.601,2.839,2.601,0.238
6058,"LOVES #300",Bennett,CO,ULSD,1.9673,0.2483,0.205,0,0.049,0.14175,2.611,2.879,2.611,0.268
42150,"LOVES #668",Berthoud,CO,ULSD,1.9673,0.2483,0.205,0,0.0587,0.14175,2.621,2.989,2.621,0.368
42110,"LOVES #649",Brush,CO,ULSD,1.9673,0.2483,0.205,0,0.0792,0.14175,2.642,3.589,2.642,0.947
