"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-22
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.2985,0.2483,0.3175,0,0.1187,0.02,3.003,3.549,3.003,0.546
8313,"LOVES #877",Cullman,AL,ULSD,2.2779,0.2483,0.3175,0,0.065,0.01,2.919,3.649,2.919,0.73
36091,"LOVES #773",Eutaw,AL,ULSD,2.2779,0.2483,0.3175,0,0.0522,0.06,2.956,3.489,2.956,0.533
1106,"LOVES #225",Evergreen,AL,ULSD,2.2985,0.2483,0.3175,0,0.0949,0.07,3.029,3.589,3.029,0.56
1375,"LOVES #381",Falkville,AL,ULSD,2.2779,0.2483,0.3175,0,0.0825,0.03,2.956,3.649,2.956,0.693
14312,"LOVES #814",Hamilton,AL,ULSD,2.3263,0.2483,0.3175,0,0.08,0.03,3.002,3.589,3.002,0.587
2172,"LOVES #818",Heflin,AL,ULSD,2.2779,0.2483,0.3175,0,0.065,0.03,2.939,3.589,2.939,0.65
33059,"LOVES #718","Hope Hull",AL,ULSD,2.2985,0.2483,0.3175,0,0.0625,0.03,2.957,3.589,2.957,0.632
21124,"LOVES #846",Irvington,AL,ULSD,2.3646,0.2483,0.3175,0,0.07,0.03,3.03,3.649,3.03,0.619
1173,"LOVES #466",Jasper,AL,ULSD,2.2779,0.2483,0.3175,0,0.0362,0.04,2.92,3.549,2.92,0.629
1157,"LOVES #206",Loxley,AL,ULSD,2.3646,0.2483,0.3175,0,0.068,0.09,3.088,3.699,3.088,0.611
1108,"LOVES #227","Mc Calla",AL,ULSD,2.2779,0.2483,0.3175,0,0.0475,0.02,2.911,3.489,2.911,0.578
1055,"LOVES #530",Moody,AL,ULSD,2.2779,0.2483,0.3175,0,0.0675,0.08,2.991,3.589,2.991,0.598
1113,"LOVES #566",Ozark,AL,ULSD,2.4199,0.2483,0.3175,0,0.0825,0.07,3.138,3.689,3.138,0.551
1155,"LOVES #624",Prichard,AL,ULSD,2.3646,0.2483,0.3175,0,0.0675,0.08,3.078,3.649,3.078,0.571
1152,"LOVES #577",Shorter,AL,ULSD,2.2985,0.2483,0.3175,0,0.0667,0.1,3.031,3.589,3.031,0.558
38263,"LOVES #774","Smiths Station",AL,ULSD,2.2985,0.2483,0.3175,0,0.089,0.03,2.983,3.499,2.983,0.516
1147,"LOVES #304",Steele,AL,ULSD,2.2779,0.2483,0.3175,0,0.0587,0.08,2.982,3.889,2.982,0.907
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.2779,0.2483,0.3175,0,0.1155,0.0175,2.977,3.649,2.977,0.672
8031,"LOVES #635",Alma,AR,ULSD,2.1742,0.2483,0.285,0,0.0455,0.003,2.756,3.589,2.756,0.833
40016,"LOVES #671",Blytheville,AR,ULSD,2.3841,0.2483,0.285,0,0.1025,0.003,3.023,3.699,3.023,0.676
52153,"LOVES #822",Clarksville,AR,ULSD,2.2839,0.2483,0.285,0,0.0875,0.003,2.908,3.589,2.908,0.681
