"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-31
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.4303,0.2483,0.3175,0,0.1187,0.02,3.135,3.689,3.135,0.554
8313,"LOVES #877",Cullman,AL,ULSD,2.4214,0.2483,0.3175,0,0.065,0.01,3.062,3.789,3.062,0.727
36091,"LOVES #773",Eutaw,AL,ULSD,2.4214,0.2483,0.3175,0,0.0522,0.06,3.099,3.649,3.099,0.55
1106,"LOVES #225",Evergreen,AL,ULSD,2.4303,0.2483,0.3175,0,0.0949,0.07,3.161,3.749,3.161,0.588
1375,"LOVES #381",Falkville,AL,ULSD,2.4214,0.2483,0.3175,0,0.0825,0.03,3.1,3.789,3.1,0.689
14312,"LOVES #814",Hamilton,AL,ULSD,2.4518,0.2483,0.3175,0,0.08,0.03,3.128,3.689,3.128,0.561
2172,"LOVES #818",Heflin,AL,ULSD,2.4214,0.2483,0.3175,0,0.065,0.03,3.082,3.689,3.082,0.607
33059,"LOVES #718","Hope Hull",AL,ULSD,2.4303,0.2483,0.3175,0,0.0625,0.03,3.089,3.749,3.089,0.66
21124,"LOVES #846",Irvington,AL,ULSD,2.4943,0.2483,0.3175,0,0.07,0.03,3.16,3.789,3.16,0.629
1173,"LOVES #466",Jasper,AL,ULSD,2.4214,0.2483,0.3175,0,0.0362,0.04,3.063,3.689,3.063,0.626
1157,"LOVES #206",Loxley,AL,ULSD,2.4943,0.2483,0.3175,0,0.068,0.09,3.218,3.849,3.218,0.631
1108,"LOVES #227","Mc Calla",AL,ULSD,2.4214,0.2483,0.3175,0,0.0475,0.02,3.055,3.689,3.055,0.634
1055,"LOVES #530",Moody,AL,ULSD,2.4214,0.2483,0.3175,0,0.0675,0.08,3.135,3.689,3.135,0.554
1113,"LOVES #566",Ozark,AL,ULSD,2.5499,0.2483,0.3175,0,0.0825,0.07,3.268,3.789,3.268,0.521
1155,"LOVES #624",Prichard,AL,ULSD,2.4943,0.2483,0.3175,0,0.0675,0.08,3.208,3.789,3.208,0.581
1152,"LOVES #577",Shorter,AL,ULSD,2.4303,0.2483,0.3175,0,0.0667,0.1,3.163,3.749,3.163,0.586
38263,"LOVES #774","Smiths Station",AL,ULSD,2.4303,0.2483,0.3175,0,0.089,0.03,3.115,3.699,3.115,0.584
