"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-27
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.3283,0.2483,0.3175,0,0.1187,0.02,3.033,3.649,3.033,0.616
8313,"LOVES #877",Cullman,AL,ULSD,2.3116,0.2483,0.3175,0,0.065,0.01,2.952,3.789,2.952,0.837
36091,"LOVES #773",Eutaw,AL,ULSD,2.3116,0.2483,0.3175,0,0.0522,0.06,2.99,3.589,2.99,0.599
1106,"LOVES #225",Evergreen,AL,ULSD,2.3283,0.2483,0.3175,0,0.0949,0.07,3.059,3.689,3.059,0.63
1375,"LOVES #381",Falkville,AL,ULSD,2.3116,0.2483,0.3175,0,0.0825,0.03,2.99,3.789,2.99,0.799
14312,"LOVES #814",Hamilton,AL,ULSD,2.3541,0.2483,0.3175,0,0.08,0.03,3.03,3.689,3.03,0.659
2172,"LOVES #818",Heflin,AL,ULSD,2.3116,0.2483,0.3175,0,0.065,0.03,2.972,3.649,2.972,0.677
33059,"LOVES #718","Hope Hull",AL,ULSD,2.3283,0.2483,0.3175,0,0.0625,0.03,2.987,3.689,2.987,0.702
21124,"LOVES #846",Irvington,AL,ULSD,2.3939,0.2483,0.3175,0,0.07,0.03,3.06,3.789,3.06,0.729
1173,"LOVES #466",Jasper,AL,ULSD,2.3116,0.2483,0.3175,0,0.0362,0.04,2.954,3.649,2.954,0.695
1157,"LOVES #206",Loxley,AL,ULSD,2.3939,0.2483,0.3175,0,0.068,0.09,3.118,3.849,3.118,0.731
1108,"LOVES #227","Mc Calla",AL,ULSD,2.3116,0.2483,0.3175,0,0.0475,0.02,2.945,3.589,2.945,0.644
1055,"LOVES #530",Moody,AL,ULSD,2.3116,0.2483,0.3175,0,0.0675,0.08,3.025,3.649,3.025,0.624
1113,"LOVES #566",Ozark,AL,ULSD,2.4446,0.2483,0.3175,0,0.0825,0.07,3.163,3.789,3.163,0.626
1155,"LOVES #624",Prichard,AL,ULSD,2.3939,0.2483,0.3175,0,0.0675,0.08,3.107,3.749,3.107,0.642
1152,"LOVES #577",Shorter,AL,ULSD,2.3283,0.2483,0.3175,0,0.0667,0.1,3.061,3.689,3.061,0.628
38263,"LOVES #774","Smiths Station",AL,ULSD,2.3283,0.2483,0.3175,0,0.089,0.03,3.013,3.649,3.013,0.636
1147,"LOVES #304",Steele,AL,ULSD,2.3116,0.2483,0.3175,0,0.0587,0.08,3.016,3.889,3.016,0.873
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.3116,0.2483,0.3175,0,0.1155,0.0175,3.01,3.789,3.01,0.779
8031,"LOVES #635",Alma,AR,ULSD,2.2368,0.2483,0.285,0,0.0455,0.003,2.819,3.629,2.819,0.81
40016,"LOVES #671",Blytheville,AR,ULSD,2.4162,0.2483,0.285,0,0.1025,0.003,3.055,3.739,3.055,0.684
52153,"LOVES #822",Clarksville,AR,ULSD,2.3183,0.2483,0.285,0,0.0875,0.003,2.942,3.589,2.942,0.647
6160,"LOVES #759",Hazen,AR,ULSD,2.3183,0.2483,0.285,0,0.065,0.003,2.92,3.549,2.92,0.629
4116,"LOVES #607",Jonesboro,AR,ULSD,2.3422,0.2483,0.285,0,0.0875,0.003,2.966,3.649,2.966,0.683
44598,"LOVES #689","Lake Village",AR,ULSD,2.3183,0.2483,0.285,0,0.0992,0.003,2.954,3.489,2.954,0.535
4198,"LOVES #457","Little Rock",AR,ULSD,2.3183,0.2483,0.285,0,0.06,0.003,2.915,3.549,2.915,0.634
10170,"LOVES #779",Malvern,AR,ULSD,2.3861,0.2483,0.285,0,0.087,0.003,3.009,3.849,3.009,0.84
4122,"LOVES #267",Morrilton,AR,ULSD,2.3183,0.2483,0.285,0,0.0875,0.003,2.942,3.589,2.942,0.647
4053,"LOVES #236","N Little Rock",AR,ULSD,2.3183,0.2483,0.285,0,0.06,0.003,2.915,3.549,2.915,0.634
4134,"LOVES #271",Ozark,AR,ULSD,2.3183,0.2483,0.285,0,0.0875,0.003,2.942,3.589,2.942,0.647
4150,"LOVES #275",Palestine,AR,ULSD,2.3422,0.2483,0.285,0,0.0555,0.003,2.934,3.689,2.934,0.755
35130,"LOVES #661","Pine Bluff",AR,ULSD,2.3183,0.2483,0.285,0,0.0751,0.003,2.93,3.489,2.93,0.559
4321,"LOVES #277",Prescott,AR,ULSD,2.3861,0.2483,0.285,0,0.0884,0.003,3.011,4.089,3.011,1.078
21236,"LOVES #884",Prescott,AR,ULSD,2.3861,0.2483,0.285,0,0.0884,0.003,3.011,4.089,3.011,1.078
4075,"LOVES #557",Searcy,AR,ULSD,2.3183,0.2483,0.285,0,0.07,0.003,2.925,3.649,2.925,0.724
4037,"LOVES #450","West Memphis",AR,ULSD,2.3422,0.2483,0.285,0,0.0575,0.003,2.936,3.689,2.936,0.753
3313,"LOVES #460",Benson,AZ,ULSD,2.5821,0.2483,0.26,0,0.0908,0.01,3.191,3.589,3.191,0.398
3079,"LOVES #280",Buckeye,AZ,ULSD,2.4951,0.2483,0.26,0,0.0758,0.01,3.089,4.049,3.089,0.96
3753,"LOVES #328","Chandler ",AZ,ULSD,2.4951,0.2483,0.26,0,0.0387,0.01,3.052,4.089,3.052,1.037
30448,"LOVES #972",ELOY,AZ,ULSD,2.4951,0.2483,0.26,0,0.0725,0.01,3.086,3.889,3.086,0.803
3087,"LOVES #265",Eloy,AZ,ULSD,2.4951,0.2483,0.26,0,0.0725,0.01,3.086,4.089,3.086,1.003
3084,"LOVES #296","Gila Bend",AZ,ULSD,2.4951,0.2483,0.26,0,0.1025,0.01,3.116,4.049,3.116,0.933
3082,"LOVES #278","Joseph City",AZ,ULSD,2.4501,0.2483,0.26,0,0.1899,0.01,3.158,4.189,3.158,1.031
3028,"LOVES #272",Kingman,AZ,ULSD,2.4585,0.2483,0.26,0,0.1558,0.01,3.133,4.049,3.133,0.916
3244,"LOVES #386","Lake Havasu City",AZ,ULSD,2.4585,0.2483,0.26,0,0.167,0.01,3.144,4.049,3.144,0.905
29105,"LOVES #722",Mayer,AZ,ULSD,2.4951,0.2483,0.26,0,0.0975,0.01,3.111,4.089,3.111,0.978
30348,"LOVES #350",Nogales,AZ,ULSD,2.5821,0.2483,0.26,0,0.0597,0.01,3.16,3.789,3.16,0.629
3081,"LOVES #286",Quartzsite,AZ,ULSD,2.4951,0.2483,0.26,0,0.135,0.01,3.148,4.089,3.148,0.941
3134,"LOVES #659",Tolleson,AZ,ULSD,2.4951,0.2483,0.26,0,0.062,0.01,3.075,4.089,3.075,1.014
49246,"LOVES #831",Willcox,AZ,ULSD,2.5821,0.2483,0.26,0,0.0821,0.01,3.183,4.189,3.183,1.006
3078,"LOVES #553",Williams,AZ,ULSD,2.4951,0.2483,0.26,0,0.1259,0.01,3.139,4.189,3.139,1.05
47463,"LOVES #971",Winslow,AZ,ULSD,2.4951,0.2483,0.26,0,0.17,0.01,3.183,4.189,3.183,1.006
3764,"LOVES #349",Yuma,AZ,ULSD,2.4391,0.2483,0.26,0,0.095,0.01,3.052,3.989,3.052,0.937
3495,"LOVES #830",Bakersfield,CA,ULSD,2.9402,0.2483,0.466,0.46279,0.0725,0.02465,4.214,4.949,4.214,0.735
5356,"LOVES #374",Barstow,CA,ULSD,2.8846,0.2483,0.466,0.47271,0.0825,0.02465,4.179,4.889,4.179,0.71
34155,"LOVES #755",Boron,CA,ULSD,2.8846,0.2483,0.466,0.46117,0.1165,0.02465,4.201,5.089,4.201,0.888
5266,"LOVES #207",Coachella,CA,ULSD,2.897,0.2483,0.466,0.48016,0.1215,0.02465,4.238,4.889,4.238,0.651
5218,"LOVES #410",Corning,CA,ULSD,2.9131,0.2483,0.466,0.44666,0.1025,0.02465,4.201,4.889,4.201,0.688
5597,"LOVES #538",Lodi,CA,ULSD,2.8737,0.2483,0.466,0.44019,0.094,0.02465,4.147,4.889,4.147,0.742
5752,"LOVES #230","Lost Hills",CA,ULSD,2.8762,0.2483,0.466,0.46104,0.124,0.02465,4.2,4.889,4.2,0.689
1217,"LOVES #736",Madera,CA,ULSD,2.8762,0.2483,0.466,0.45803,0.1025,0.02465,4.176,5.149,4.176,0.973
42398,"LOVES #807",Patterson,CA,ULSD,2.8737,0.2483,0.466,0.44456,0.095,0.02465,4.152,5.089,4.152,0.937
5006,"LOVES #223","Ripon ",CA,ULSD,2.8737,0.2483,0.466,0.4385,0.0815,0.02465,4.133,4.989,4.133,0.856
24309,"LOVES #898",Salinas,CA,ULSD,2.8603,0.2483,0.466,0.49384,0.139,0.02465,4.232,5.089,4.232,0.857
5223,"LOVES #441","Santa Nella",CA,ULSD,2.8737,0.2483,0.466,0.44038,0.0954,0.02465,4.148,5.169,4.148,1.021
5211,"LOVES #392",Tehachapi,CA,ULSD,2.9402,0.2483,0.466,0.4714,0.134,0.02465,4.285,5.089,4.285,0.804
