"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-07
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.1284,0.2483,0.3175,0,0.1187,0.02,2.833,3.319,2.833,0.486
8313,"LOVES #877",Cullman,AL,ULSD,2.1135,0.2483,0.3175,0,0.065,0.01,2.754,3.289,2.754,0.535
36091,"LOVES #773",Eutaw,AL,ULSD,2.1135,0.2483,0.3175,0,0.0522,0.06,2.792,3.149,2.792,0.357
1106,"LOVES #225",Evergreen,AL,ULSD,2.1284,0.2483,0.3175,0,0.0949,0.07,2.859,3.289,2.859,0.43
1375,"LOVES #381",Falkville,AL,ULSD,2.1135,0.2483,0.3175,0,0.0825,0.03,2.792,3.289,2.792,0.497
14312,"LOVES #814",Hamilton,AL,ULSD,2.151,0.2483,0.3175,0,0.08,0.03,2.827,3.319,2.827,0.492
2172,"LOVES #818",Heflin,AL,ULSD,2.1135,0.2483,0.3175,0,0.065,0.03,2.774,3.249,2.774,0.475
33059,"LOVES #718","Hope Hull",AL,ULSD,2.1284,0.2483,0.3175,0,0.0625,0.03,2.787,3.289,2.787,0.502
21124,"LOVES #846",Irvington,AL,ULSD,2.1987,0.2483,0.3175,0,0.07,0.03,2.865,3.289,2.865,0.424
1173,"LOVES #466",Jasper,AL,ULSD,2.1135,0.2483,0.3175,0,0.0362,0.04,2.756,3.319,2.756,0.563
1157,"LOVES #206",Loxley,AL,ULSD,2.1987,0.2483,0.3175,0,0.068,0.09,2.923,3.449,2.923,0.526
1108,"LOVES #227","Mc Calla",AL,ULSD,2.1135,0.2483,0.3175,0,0.0475,0.02,2.747,3.289,2.747,0.542
1055,"LOVES #530",Moody,AL,ULSD,2.1135,0.2483,0.3175,0,0.0675,0.08,2.827,3.219,2.827,0.392
1113,"LOVES #566",Ozark,AL,ULSD,2.2508,0.2483,0.3175,0,0.0825,0.07,2.969,3.489,2.969,0.52
1155,"LOVES #624",Prichard,AL,ULSD,2.1987,0.2483,0.3175,0,0.0675,0.08,2.912,3.299,2.912,0.387
1152,"LOVES #577",Shorter,AL,ULSD,2.1284,0.2483,0.3175,0,0.0667,0.1,2.861,3.439,2.861,0.578
