"Company Id: ",981," ","Company Name: ","2043733 ONTARIO INC."," ",DBA,"CH LOGISTIX"," ","Effective Date: ",2026-01-24
SITE,NAME,CITY,STATE,PROD,COST,"FEDERAL TAX","STATE TAX","SALES TAX",FREIGHT,OTHER,"TOTAL COST","RETAIL PRICE","YOUR PRICE",SAVINGS
1277,"LOVES #368",Clanton,AL,ULSD,2.2892,0.2483,0.3175,0,0.1187,0.02,2.994,3.649,2.994,0.655
8313,"LOVES #877",Cullman,AL,ULSD,2.2707,0.2483,0.3175,0,0.065,0.01,2.912,3.789,2.912,0.877
36091,"LOVES #773",Eutaw,AL,ULSD,2.2707,0.2483,0.3175,0,0.0522,0.06,2.949,3.589,2.949,0.64
1106,"LOVES #225",Evergreen,AL,ULSD,2.2892,0.2483,0.3175,0,0.0949,0.07,3.02,3.689,3.02,0.669
1375,"LOVES #381",Falkville,AL,ULSD,2.2707,0.2483,0.3175,0,0.0825,0.03,2.949,3.789,2.949,0.84
14312,"LOVES #814",Hamilton,AL,ULSD,2.315,0.2483,0.3175,0,0.08,0.03,2.991,3.689,2.991,0.698
2172,"LOVES #818",Heflin,AL,ULSD,2.2707,0.2483,0.3175,0,0.065,0.03,2.932,3.649,2.932,0.717
33059,"LOVES #718","Hope Hull",AL,ULSD,2.2892,0.2483,0.3175,0,0.0625,0.03,2.948,3.689,2.948,0.741
21124,"LOVES #846",Irvington,AL,ULSD,2.3568,0.2483,0.3175,0,0.07,0.03,3.023,3.789,3.023,0.766
1173,"LOVES #466",Jasper,AL,ULSD,2.2707,0.2483,0.3175,0,0.0362,0.04,2.913,3.649,2.913,0.736
1157,"LOVES #206",Loxley,AL,ULSD,2.3568,0.2483,0.3175,0,0.068,0.09,3.081,3.849,3.081,0.768
1108,"LOVES #227","Mc Calla",AL,ULSD,2.2707,0.2483,0.3175,0,0.0475,0.02,2.904,3.589,2.904,0.685
1055,"LOVES #530",Moody,AL,ULSD,2.2707,0.2483,0.3175,0,0.0675,0.08,2.984,3.649,2.984,0.665
1113,"LOVES #566",Ozark,AL,ULSD,2.4079,0.2483,0.3175,0,0.0825,0.07,3.126,3.789,3.126,0.663
1155,"LOVES #624",Prichard,AL,ULSD,2.3568,0.2483,0.3175,0,0.0675,0.08,3.07,3.749,3.07,0.679
1152,"LOVES #577",Shorter,AL,ULSD,2.2892,0.2483,0.3175,0,0.0667,0.1,3.022,3.689,3.022,0.667
38263,"LOVES #774","Smiths Station",AL,ULSD,2.2892,0.2483,0.3175,0,0.089,0.03,2.974,3.649,2.974,0.675
1147,"LOVES #304",Steele,AL,ULSD,2.2707,0.2483,0.3175,0,0.0587,0.08,2.975,3.889,2.975,0.914
1114,"LOVES #580",Tuscumbia,AL,ULSD,2.2707,0.2483,0.3175,0,0.1155,0.0175,2.97,3.789,2.97,0.819
8031,"LOVES #635",Alma,AR,ULSD,2.1831,0.2483,0.285,0,0.0455,0.003,2.765,3.629,2.765,0.864
40016,"LOVES #671",Blytheville,AR,ULSD,2.3775,0.2483,0.285,0,0.1025,0.003,3.016,3.739,3.016,0.723
